Logros,Descripcion,Porcentaje
Foraged,No Description,81.6%
True Colours,No Description,66.4%
Schooled,No Description,66.1%
Twenty-Six,No Description,59.1%
Hospitalised,No Description,52.5%
Paled,No Description,48.7%
Signal interruption,No Description,47.6%
...And Stay Dead!,No Description,41.7%
What's in the box?!,No Description,36.9%
Mono Tones,"My, what a curious song you play!",29.8%
Half hat,It would be cliché to collect them all,22.0%
Evasive prey,Not today!,21.9%
Hunger,Plenty of snacks for a growing boy,18.6%
X Best Friends,I see through you...,18.4%
Fair Prey,No Description,18.3%
In The Palm Of My Hand,Hold tight and we'll be just fine,17.3%
How Do I Look?,No Description,15.1%
Toys Are For Kids,"There, you'll be much warmer now",15.0%
Medicine ball,Any other last requests?,10.7%
Bully of Bullies,"Creative, efficient, brutal. Top of the class!",10.5%
Unladylike,No Description,10.1%
Post Industrial,You punctuated someone's day. Maybe they'll notice!,9.8%
Wild Kids,No Description,9.4%
Merciful feat,"Tempting, so tempting...",9.1%
School Kids,No Description,8.6%
Sick Kids,No Description,8.3%
Referee!,"Unorthodox, but they all count!",7.9%
Pale Kids,No Description,7.3%
Far Ahead,Hats are very important to some people,7.2%
First do no harm,No Description,7.1%
Objection,Some holes are more picky than others,6.9%
No More Remains,Nothing of us remains anywhere. Bravo!,6.4%
Fly Free,Rebellion at its finest!,6.2%
Popcorn,Movie night on the ward - all taken care of!,5.7%
Primetime Content Consumer,Your life is now free of challenges. Congratulations,4.0%
