Logros,Descripcion,Porcentaje
The Prison,Look how the canary has flown its cage!,49.2%
The Lair,Little lost things sometimes find their way home.,34.6%
Highly Sprung,No Description,34.5%
The Kitchen,The Chefs will miss you!,30.0%
The Guest Area,Little fox among hungry wolves!,28.6%
The Lady's Quarters,A storm is coming. That coat should come in useful.,27.9%
Elusive,No Description,21.7%
Light Up Your Life,"Not all lights can be trusted, but these should be quite safe!",9.5%
So Close,You'll do better next time.,5.2%
End in Sight,The final stretch will be largely uneventful.,4.5%
Six's Song,No Description,4.2%
We'll Meet Again,No Description,4.1%
Rascal,No Description,2.7%
Kitchen Hand,No Description,2.6%
Little Lost Things,Kindness will be your undoing!,2.3%
Fun & Games Ahead,No Description,2.1%
Ashes to Ashes,No Description,1.9%
I'm Losing You,No Description,1.8%
Not Alone,What's new with you?,1.7%
Ashes in The Maw,No Description,1.7%
Is Anybody Out There?,I wish I could visit you there.,1.6%
Hard to the Core,What’s different about you? Why are you so brave?,1.3%
