Logros,Descripcion,Porcentaje
Beginner Survivor!,Survive 1 day.,93.0%
Teamplay!,Team up with a friend in multiplayer.,79.3%
Beginner Builder!,Build 10 foundations.,78.6%
Beginner Gatherer!,Hook 100 items.,77.2%
Beginner Shark Hunter!,Kill 1 shark.,76.2%
Intermediate Survivor!,Survive 7 days.,75.6%
It's Better Without The Salt.,Craft and place a simple purifier.,73.8%
Dinnertime!,Craft and place a simple grill.,70.7%
Large Landmass Ahoy!,Discover a large island.,69.6%
Aye Aye Captain!,Place a sail and a stationary anchor on the same raft.,58.8%
Beginner Bird Hunter!,Kill 1 bird.,58.2%
Beginner Warthog Hunter!,Kill 1 Warthog.,57.2%
Expert Survivor!,Survive 30 days.,51.3%
Is There A Utopia?,No Description,46.9%
A More Complex Concoction!,Cook a meal by following a recipe.,43.2%
Intermediate Shark Hunter!,Kill 10 sharks.,42.9%
Beginner Lurker Hunter!,Kill 1 Lurker.,42.2%
Intermediate Builder!,Build 100 foundations.,41.8%
Beginner Poison-Puffer Hunter!,Kill 1 Poison-puffer.,41.3%
Bootleg Fireworks!,No Description,39.6%
Intermediate Lurker Hunter!,Kill 10 Lurkers.,39.1%
Beginner Bear Hunter!,Kill 1 Bear.,37.7%
Vasagatan Historian!,Find all notes on Vasagatan!,36.7%
Exploring The depths!,No Description,34.5%
Intermediate Bird Hunter!,Kill 10 birds.,34.3%
Beginner Wrangler!,Capture 1 animal.,34.1%
Intermediate Gatherer!,Hook 500 items.,34.0%
Radio Tower Historian!,Find all notes on the Radio Tower!,33.6%
Beginner Screecher Hunter!,Kill 1 Screecher.,31.6%
Tiny Little Murderer,No Description,31.0%
This Goes Here!,No Description,29.6%
Beginner Bee-nevolent!,Capture 1 bee.,29.6%
A Revelation!,No Description,28.5%
The Renovator!,No Description,28.4%
Pling!,No Description,27.5%
Intermediate Bear Hunter!,Kill 10 Bears.,25.5%
Beginner Disruptor!,Disrupt 1 Butler-Bot.,25.4%
Beginner Ziponaut!,Travel 100 meters with the zipline tool.,24.7%
Fix Errol!,"There you go, Errol.",24.5%
Farmer!,Have 20 cropplots on the same raft.,24.5%
Hoarder!,Have 20 storages on the same raft.,24.3%
Caravan Town Historian!,Find all notes on Caravan Town!,24.2%
Beginner Excavator!,Dig up a treasure.,23.3%
Launch Initiated!,No Description,23.0%
Balboa Historian!,Find all notes on Balboa!,22.8%
Beginner Merchant!,Purchase an item at a trading post.,21.7%
Small Spender!,Spend 10 tokens.,20.7%
Tangaroa Historian!,Find all notes in Tangaroa!,20.3%
Intermediate Disruptor!,Disrupt 10 Butler-Bots.,18.1%
O Captain! My Captain!?,No Description,18.0%
Some Look Different!,Capture a rare animal.,17.8%
Intermediate Poison-Puffer Hunter!,Kill 10 Poison-puffers.,17.6%
Explosive Force!,No Description,17.2%
Zip Zap!,Travel 50 meters on a zipline without disjointing.,16.9%
Beginner Anglerfish Hunter!,Kill 1 Anglerfish.,16.8%
Instrumentalist!,No Description,14.8%
Intermediate Bee-nevolent!,Capture 10 bees.,14.8%
Medium Spender!,Spend 20 tokens.,14.6%
An Ocean Cemetery!,No Description,14.6%
Bookworm!,Research everything in the research table.,14.2%
Not A Great Landing!,No Description,14.2%
Intermediate Warthog Hunter!,Kill 10 Warthogs.,14.0%
Intermediate Merchant!,Reach tier 2 in the trading post.,13.7%
Varuna Point Historian!,Find all notes in Varuna Point.,13.4%
That's Not A Boat...,Drive a snowmobile into the sea.,13.4%
There Is A Utopia!,No Description,11.9%
Mother Lode!,Slay the Mama Bear.,11.2%
Beginner Painter!,Paint 50 blocks.,11.2%
Intermediate Ziponaut!,Travel 500 meters with the zipline tool.,10.8%
All Aboard!,Unlock all playable characters.,10.6%
Expert Merchant!,Reach tier 3 in the trading post.,10.2%
Expert Bird Hunter!,Kill 50 birds.,10.1%
Expert Shark Hunter!,Kill 50 sharks.,9.6%
Big Spender!,Spend 30 tokens.,8.9%
Intermediate Wrangler!,Capture 10 animals.,8.4%
Expert Lurker Hunter!,Kill 50 Lurkers.,7.7%
Expert Disruptor!,Disrupt 20 Butler-Bots.,7.6%
Intermediate Excavator!,Dig up 20 treasures.,7.4%
Plumber Power!,Have 30 pipes placed at once.,6.8%
Intermediate Painter!,Paint 200 blocks.,6.4%
Boxed In!,No Description,6.2%
Cache Collector!,Locate all Grabber caches on Varuna Point.,6.2%
Temperance Historian!,Find all notes in Temperance.,5.7%
You Should Not Be Here!,No Description,5.4%
Expert Builder!,Build 1000 foundations.,4.6%
Real Fireworks!,Witness 50 firework explosions.,4.4%
Expert Bee-nevolent!,Capture 25 bees.,4.2%
Intermediate Screecher Hunter!,Kill 10 Screechers.,2.9%
Expert Excavator!,Dig up 50 treasures.,2.7%
Expert Bear Hunter!,Kill 50 Bears.,2.3%
Expert Poison-Puffer Hunter!,Kill 50 Poison-puffers.,2.3%
Expert Painter!,Paint 1000 blocks.,2.2%
Expert Ziponaut!,Travel 1500 meters with the zipline tool.,2.1%
Intermediate Anglerfish Hunter!,Kill 10 Anglerfish.,2.0%
Bee Keeper!,Have 10 beehives placed at once.,1.8%
Master Survivor!,Survive 365 days.,1.3%
Expert Warthog Hunter!,Kill 50 Warthogs.,1.1%
Expert Gatherer!,Hook 5000 items.,1.1%
Expert Wrangler!,Capture 50 animals.,1.1%
Former Glory!,No Description,1.0%
Powered Up!,Have all buffs from meals and drinks active on you at the same time.,0.9%
Artistic Collection!,No Description,0.8%
Expert Screecher Hunter!,Kill 50 Screechers.,0.8%
Expert Anglerfish Hunter!,Kill 50 Anglerfish.,0.4%
