Nombre,Precio Inicial,Precio Final
The Elder Scrolls IV: Oblivion - Game of the Year Edition Deluxe,19.99,3.99
The Elder Scrolls III: Morrowind GOTY Edition,14.99,3.74
Dragon Age™: Origins - Ultimate Edition,19.99,3.99
Drakensang,9.99,1.99
Tomb Raider: Legend,6.99,0.97
Ultima™ 7 The Complete Edition,5.99,1.37
Tomb Raider: Anniversary,8.99,0.98
Ultima™ 4+5+6,5.99,1.49
Mad Max,19.99,3.99
Fahrenheit: Indigo Prophecy Remastered,9.99,1.99
Arx Fatalis,4.99,1.64
Syberia,12.99,1.29
Middle-earth™: Shadow of War™ Definitive Edition,59.99,8.99
Tomb Raider: Underworld,8.99,0.98
Middle-earth™: Shadow of Mordor™ Game of the Year Edition,19.99,4.99
THIEF: Definitive Edition,24.99,3.74
Sid Meier’s Pirates!,9.99,2.49
Silent Hill 4: The Room,9.99,6.99
Syberia II,12.99,1.29
METAL GEAR SOLID,9.99,6.99
Ultima™ 1+2+3,5.99,1.49
No Man's Sky,59.99,29.99
Tomb Raider: The Last Revelation + Chronicles,9.99,1.39
Broken Sword 2: Remastered,5.99,0.89
Tomb Raider: The Angel of Darkness,6.99,0.97
Tex Murphy: Under a Killing Moon,9.99,1.49
Aragami,19.99,2.99
Broken Sword 5 - the Serpent's Curse,24.99,3.74
Broken Sword 4: The Angel of Death (Secrets of the Ark),5.99,0.89
Tex Murphy: The Pandora Directive,9.99,1.49
I Have No Mouth And I Must Scream,5.99,1.49
The Legend of Kyrandia (Book One),5.99,1.49
Alekhine's Gun,14.99,2.24
The Fall,9.99,0.99
Septerra Core: Legacy of the Creator,4.99,1.49
Tex Murphy: Overseer,9.99,1.49
Oddworld: Abe's Oddysee,5.99,1.49
The Legend of Kyrandia: Hand of Fate (Book Two),5.99,1.49
Call of Cthulhu: Shadow of the Comet,5.99,1.19
Despair: Blood Curse,11.99,10.79
En Garde! Soundtrack Edition,22.48,17.75
Lust Academy - Season 1,14.99,11.24
Beyond a Steel Sky,34.99,6.99
Hero of the Kingdom III,9.99,0.99
Beat Cop,14.99,1.49
