Line Them Up,Hit 3 different enemy gods with a single ability.,49.3%
Perfect,Get the killing blow on an enemy god without taking damage from them.,46.8%
Last Hit,Kill 20 minions by getting the last hit with a Basic Attack in a single match.,40.0%
Minion Mayhem,100 Minions killed.,39.6%
Freeze!,Stun 15 enemy gods.,37.2%
That's Far Enough!,Root or Cripple 15 enemy gods.,33.6%
Double Edged Sword,Win a match where your team has killed twice as many gods as the enemy team.,32.4%
Up You Go!,Knockup 15 enemy gods.,30.0%
Helping Hand,100 Assists on a god kill.,28.5%
Super Cheer,Win an Arena match with more than 100 tickets remaining.,27.8%
Feel the Fury,Reach the maximum Attack Speed of 2.5 in a single match.,25.7%
Limit Them,Disarm or Silence 10 enemy gods.,25.4%
Precise Shot,Get a double kill where both kills were the result of ranged basic attacks.,24.5%
Use your Fists,Get the killing blow on an enemy god with a Basic Attack while playing a Guardian.,24.0%
After Effect,Kill an enemy god after they had already killed you.,23.9%
Good Game,"Complete a match with 5 or more Kills, 10 or more Assists, and 2 or fewer Deaths.",23.3%
Fatality,100 god kills.,22.1%
Down to the Wire,Win an Arena match where your team has only 20 tickets or less remaining.,22.1%
Double Tap,Get 10 double kills in qualifying matches.,22.1%
Jump! Jump!,You have leaped over 100 times with gods that have leaps.,21.6%
Reborn,Win a game after one of your Phoenixes was destroyed.,19.4%
Omnitheist,Completed a match with a god from all Pantheons.,19.2%
Heals for Days,"Healed gods other than yourself for more than 10,000 health.",17.8%
Destructible,"Destroy an enemy tower in Conquest, Clash, or Siege before 8:00 on the in-game clock.",17.1%
Why So Cold?,"As Ymir, hit 50 basic attacks on enemy Gods who are affected by Frostbite.",15.4%
Hat Trick,5 Triple Kills.,14.9%
Quadra Kill,1 Quadra Kill.,14.6%
Fooled You,Get the killing blow on an enemy god using damage reflect.,14.1%
Stunville,As Artemis stun three or more enemy gods with Calydonian Boar in one deployment.,14.0%
Combo Breaker,Shut down 10 Killing Sprees.,14.0%
Blood and Sand,25 Arena matches played.,13.3%
Water Rises,As Poseidon keep your tide meter above 50% for more than a minute,13.3%
Release the Kraken!,As Poseidon hit three or more enemy gods with your ultimate.,13.2%
Bloodthirster,Get 10 first blood accolades in qualifying matches.,12.8%
Survivor,Survived more than 50 battles with less than 10% health.,12.8%
Can't Stop This,50 Killing Sprees.,12.1%
Questions Later,Dealt damage to every enemy player in Arena before any of them damaged you.,11.0%
Tectonic Stun,"As Thor, stun three or more enemies at once using Tectonic Rift.",10.7%
Look at Me!,As Medusa stun three or more enemy gods using Petrify.,10.6%
Beast Slayer,Get the killing blow on an enemy Siege Monster in Siege Mode.,10.6%
Cleanup Crew,Kill 3 enemy gods with a single ability.,10.2%
Valiant Jouster,25 Joust 3v3 matches played.,9.8%
All About the Conquest,25 Normal Conquest matches played.,9.7%
"Hello, is this Storm?",As Chaac hit three or more enemy gods at once with Storm Call.,9.6%
Blighted,As Hades apply Blight on your enemies to augment all four of your abilities in one game.,9.6%
Arrow to the Knee,"As Neith, root three or more enemy gods with one Spirit Arrow.",9.6%
It's a Trap!,As Artemis cripple twenty five enemy gods with Transgressors Fate.,9.5%
My Chariot Awaits,As Apollo hit an enemy with every tick from Across The Sky,9.4%
The Slow Dance,As Chaac slow three or more enemy gods with Rain Dance,9.4%
Objective Stealer,Deliver the killing blow on a map objective where enemies did more damage in a qualifying match.,9.4%
Weather the Storm,As Susano use a Basic Attack anytime while Storm Kata is activated.,9.3%
Where You Going?,As Izanami max out Spectral Projection by getting a kill or assist on 2 enemies while they are slowed by it.,9.1%
Meltmaster,As Ares incinerate two gods in one match with Searing Flesh.,9.0%
Dunkmaster!,"As Thor, land on three or more enemies at once with your Ultimate, Anvil of Dawn.",9.0%
Mage for Life,5 Mastered Mages.,9.0%
Gymnast,"As Neith, kill an enemy god with the damage from Back Flip.",9.0%
Come Back,Win a match where your team had 4000 less combined gold than the enemy team.,8.9%
Around the World,"As Mercury travel 75,000 feet in a single game.",8.7%
Reflect the Heavens,As Amaterasu fully charge her mirror in one second.,8.6%
Mummified,As Anubis stun 15 enemy gods using mummify in a single match.,8.6%
Death's Call,As Izanami kill an enemy god while at or below 25% health.,8.5%
Rampage,50 Towers destroyed.,8.4%
Maxed Out,Reach Level 30.,8.3%
Wrecking Ball,As Thanatos execute three or more enemies in a single match  using hovering death.,8.3%
The Rage,As Xing Tian reach and stay at full stacks of smoldering rage for over 30 seconds.,8.2%
Earthbreaker,As Hercules knock an enemy up five times in a single match using Earthbreaker.,8.2%
Ice isn't Nice,As Skadi catch 3 or more enemy Gods on Permafrost.,8.1%
Spread the Love,As Cupid heal each of your teammates by using Share the Love.,8.0%
Penta Kill,1 Penta Kill.,7.9%
Fast Blood,You have earned First Blood in any game mode before 0:00 on the in-game clock.,7.9%
Join the Hunt,5 Mastered Hunters.,7.7%
Whirlwind of Pain,As Xing Tian get an assist on three enemies within five seconds using his Ultimate.,7.6%
Soul Expulsion,As Cerberus consume the soul of every enemy god in the game with the use of his Soul Expulsion Ability.,7.6%
Death from Above,Killed 25 gods from damage dealt by landing from a leap.,7.5%
Stygian torment,As Cerberus hit every member of the enemy team with a single cast of your Stygian Torment ability.,7.5%
Disarm,"As Ah Muzen Cab, disarm an enemy god using bees.",7.5%
The Warriors Will,"As Guan Yu, heal three or more of your teammates at once while your passive, Painless, is fully charged.",7.4%
Assassin for Hire,5 Mastered Assassins.,7.2%
Everybody Getting Tipsy,As Bacchus intoxicate three or more enemy Gods at once.,7.2%
Hard Carry,You killed more than 20 enemy gods in a single Conquest match.,7.2%
Oh the Agony!,"As Hades, land a single Pillar of Agony on 3 enemy gods affected with Blight.",7.0%
Rise my Pretties,As Ah Puch release 100 Zombies in one match.,7.0%
Take That,As Fafnir slow or kill three or more enemy gods at a single time using Cursed Strength,7.0%
Those Fumes,As Agni get the killing blow with the damage from Combustion.,6.9%
The Heat!,As Agni stun three or more enemy gods with Noxious Fumes.,6.9%
Love to Guard,5 Mastered Guardians.,6.9%
Shield Smash,As Cabrakan get max stacks on your Refraction Shield and stun an enemy god with it.,6.8%
Cataclyzed,As Geb hit three or more enemy gods with Cataclysm.,6.8%
More POWER,As Xbalanque get a fully stacked passive before the fifteen minute mark in a game.,6.7%
20 to 1,"Kill enemy gods more than 20 times in a single match, and only die once.",6.7%
Get to Work,As Fafnir boost all of your allies Power and Attack Speed in a single match using Coerce.,6.7%
Wrapped Up,"As Arachne, successfully Stun 3 or more enemy gods in a match with cocoon.",6.6%
Art of War,5 Mastered Warriors.,6.6%
Face Me,As Athena Taunt three or more enemies with one confound.,6.5%
Beast Master,Summon 20 Siege Monsters in Siege Mode.,6.5%
Drums in the Distance,As Raijin hit an enemy at the max range in your Ultimate.,6.4%
Watch Your Step,As Janus make your opponents fall through fifteen different portals in one match.,6.4%
Charge!,"As Guan Yu, stun three or more enemy gods at once with your Cavalry Charge Ability in a single match.",6.4%
Made You Look,As Loki get the killing blow on an enemy god with your Decoy.,6.4%
My Lovely Lady Birds,As Aphrodite get the killing blow with the damage from your birds.,6.3%
